Country,Population
Brazil,204519000
Mexico,121006000
Colombia,48218000
Argentina,43132000
Peru,31153000
Venezuela,30620000
Chile,18006000
Ecuador,16279000
Guatemala,16176000
Cuba,11252000
Haiti,10994000
Bolivia,10520000
Dominican Republic,9980000
Honduras,8950000
Paraguay,7003000
Nicaragua,6514000
El Salvador,6460000
Costa Rica,4851000
Panama,3764000
Puerto Rico,3508000
Uruguay,3310000
Guadeloupe,405000
Martinique,383000
French Guiana,262000
Saint Martin,36000
Saint Barthélemy,10000
